date,enso_mei,pdo_index,aao_index
1937-03-01,,-0.28,
1937-04-01,,-0.69,
1937-05-01,,-0.39,
1937-06-01,,1.16,
1937-07-01,,-0.32,
1937-08-01,,-0.98,
1937-09-01,,0.01,
1937-10-01,,0.52,
1937-11-01,,0.97,
1937-12-01,,1.06,
1938-01-01,,1.53,
1938-02-01,,0.28,
1938-03-01,,-0.45,
1938-04-01,,-0.22,
1938-05-01,,-0.59,
1938-06-01,,-0.62,
1938-07-01,,-0.63,
1938-08-01,,-0.57,
1938-09-01,,-0.26,
1938-10-01,,0.78,
1938-11-01,,0.04,
1938-12-01,,1.14,
